Wind,Kd,a,b,c
5,0.14,0.01425329,0.01425329,0.043078622
5,0.15,0.013895909,0.013895909,0.043956046
5,0.16,0.01370857,0.01370857,0.042292966
5,0.17,0.013646182,0.013646182,0.040866346
5,0.18,0.013454421,0.013454421,0.038524115
5,0.19,0.012950172,0.012950172,0.039445888
5,0.2,0.012866723,0.012866723,0.036512389
5,0.21,0.012604997,0.012604997,0.038056946
5,0.22,0.012806336,0.012806336,0.034197719
5,0.23,0.012768784,0.012768784,0.032277158
5,0.24,0.012710491,0.012710491,0.031604096
5,0.25,0.011999719,0.011999719,0.033433809
5,0.26,0.01208185,0.01208185,0.032010902
5,0.27,0.012657889,0.012657889,0.028546984
5,0.28,0.012009982,0.012009982,0.028901376
5,0.29,0.011980907,0.011980907,0.029705733
5,0.3,0.011544477,0.011544477,0.030723523
5,0.31,0.01218949,0.01218949,0.027115352
5,0.32,0.011563561,0.011563561,0.028201415
5,0.33,0.011390253,0.011390253,0.02864792
5,0.34,0.011773908,0.011773908,0.024463272
5,0.35,0.011484469,0.011484469,0.02599488
5,0.36,0.01094874,0.01094874,0.02753334
6,0.06,0.021876611,0.021876611,0.026873441
6,0.07,0.020498095,0.020498095,0.043582268
6,0.08,0.019036451,0.019036451,0.054383035
6,0.09,0.018332975,0.018332975,0.05559212
6,0.1,0.017779359,0.017779359,0.053045893
6,0.11,0.016971455,0.016971455,0.055753127
6,0.12,0.016349315,0.016349315,0.054845542
6,0.13,0.01602036,0.01602036,0.054205709
6,0.14,0.01568356,0.01568356,0.047239679
6,0.15,0.015026287,0.015026287,0.052422952
6,0.16,0.014677578,0.014677578,0.051385188
6,0.17,0.014586456,0.014586456,0.048913653
6,0.18,0.01420274,0.01420274,0.048252847
6,0.19,0.013850608,0.013850608,0.0472495
6,0.2,0.013911732,0.013911732,0.044808295
6,0.21,0.013784461,0.013784461,0.043267084
6,0.22,0.013762785,0.013762785,0.040614315
6,0.23,0.013909902,0.013909902,0.0378672
6,0.24,0.01405076,0.01405076,0.034221232
6,0.25,0.013290564,0.013290564,0.037116379
6,0.26,0.013629558,0.013629558,0.034657415
6,0.27,0.013579153,0.013579153,0.032425612
6,0.28,0.01353361,0.01353361,0.032598507
6,0.29,0.013380612,0.013380612,0.031491165
6,0.3,0.01219804,0.01219804,0.035929941
6,0.31,0.013476132,0.013476132,0.029881488
6,0.32,0.012918242,0.012918242,0.031037014
6,0.33,0.01230267,0.01230267,0.032032985
6,0.34,0.012852609,0.012852609,0.029448928
6,0.35,0.012336082,0.012336082,0.030276421
6,0.36,0.012414446,0.012414446,0.02868536
7,0.06,0.023048789,0.023048789,0.033481663
7,0.07,0.021751422,0.021751422,0.04476151
7,0.08,0.020209465,0.020209465,0.059356667
7,0.09,0.019458011,0.019458011,0.056806474
7,0.1,0.018437678,0.018437678,0.063675083
7,0.11,0.018114131,0.018114131,0.058364838
7,0.12,0.017600411,0.017600411,0.056320666
7,0.13,0.017266303,0.017266303,0.05376215
7,0.14,0.016563382,0.016563382,0.054665038
7,0.15,0.016056456,0.016056456,0.05544398
7,0.16,0.015945408,0.015945408,0.051589782
7,0.17,0.015669667,0.015669667,0.051315989
7,0.18,0.015169359,0.015169359,0.049513026
7,0.19,0.01513448,0.01513448,0.046691439
7,0.2,0.014429493,0.014429493,0.048692252
7,0.21,0.014788083,0.014788083,0.044433166
7,0.22,0.014637908,0.014637908,0.041975582
7,0.23,0.014604233,0.014604233,0.041945752
7,0.24,0.014247865,0.014247865,0.040311981
7,0.25,0.013769842,0.013769842,0.043767687
7,0.26,0.013952131,0.013952131,0.039055216
7,0.27,0.014017594,0.014017594,0.038565835
7,0.28,0.013800227,0.013800227,0.036571034
7,0.29,0.014036876,0.014036876,0.035076718
7,0.3,0.013566449,0.013566449,0.035399575
7,0.31,0.014033982,0.014033982,0.033290485
7,0.32,0.013345842,0.013345842,0.034461661
7,0.33,0.012900111,0.012900111,0.035367259
7,0.34,0.013688611,0.013688611,0.028888404
7,0.35,0.013254836,0.013254836,0.030431804
7,0.36,0.012840661,0.012840661,0.031823987
8,0.06,0.023736116,0.023736116,0.02617123
8,0.07,0.021983007,0.021983007,0.05414698
8,0.08,0.020480099,0.020480099,0.062252086
8,0.09,0.019978563,0.019978563,0.058260105
8,0.1,0.019130826,0.019130826,0.057966312
8,0.11,0.018216816,0.018216816,0.060267707
8,0.12,0.017451773,0.017451773,0.062484669
8,0.13,0.017336306,0.017336306,0.057253224
8,0.14,0.01677793,0.01677793,0.057747734
8,0.15,0.016882435,0.016882435,0.052792339
8,0.16,0.015559003,0.015559003,0.0594142
