Wind,Kd,a,b,c
5,0.11,0.010183115,0.010183115,-0.028428182
5,0.12,0.009474382,0.009474382,-0.02519423
5,0.13,0.008822469,0.008822469,-0.022094823
5,0.14,0.00808645,0.00808645,-0.017407761
5,0.15,0.007544609,0.007544609,-0.014298335
5,0.16,0.007110302,0.007110302,-0.012047303
5,0.17,0.00662483,0.00662483,-0.009195538
5,0.18,0.006300845,0.006300845,-0.007383937
5,0.19,0.006020955,0.006020955,-0.005784297
5,0.2,0.005767974,0.005767974,-0.004498441
5,0.21,0.005536057,0.005536057,-0.003286133
5,0.22,0.005681094,0.005681094,-0.004041637
5,0.23,0.005354503,0.005354503,-0.002441146
5,0.24,0.005605385,0.005605385,-0.003140731
5,0.25,0.005174693,0.005174693,-0.001478879
5,0.26,0.005442379,0.005442379,-0.002251056
5,0.27,0.005019888,0.005019888,-0.00069707
5,0.28,0.005144825,0.005144825,-0.000951547
5,0.29,0.00536738,0.00536738,-0.001508734
5,0.3,0.005022716,0.005022716,-0.000414195
5,0.31,0.005040133,0.005040133,-0.00037278
5,0.32,0.005054739,0.005054739,-0.000337011
5,0.33,0.005108597,0.005108597,-0.000373337
5,0.34,0.005133893,0.005133893,-0.000313015
5,0.35,0.005118697,0.005118697,-0.000198367
5,0.36,0.005185727,0.005185727,-0.00022661
6,0.06,0.015368088,0.015368088,0.019751332
6,0.07,0.015239314,0.015239314,-0.02267177
6,0.08,0.014585199,0.014585199,-0.038423898
6,0.09,0.013349296,0.013349296,-0.038356016
6,0.1,0.012371624,0.012371624,-0.037985095
6,0.11,0.011321619,0.011321619,-0.03393353
6,0.12,0.010397472,0.010397472,-0.028981141
6,0.13,0.009668513,0.009668513,-0.024651548
6,0.14,0.009027054,0.009027054,-0.020860217
6,0.15,0.008471333,0.008471333,-0.018192674
6,0.16,0.007723285,0.007723285,-0.013650602
6,0.17,0.007309782,0.007309782,-0.011988929
6,0.18,0.007094373,0.007094373,-0.010297168
6,0.19,0.006662295,0.006662295,-0.007851871
6,0.2,0.006492252,0.006492252,-0.006556764
6,0.21,0.006066058,0.006066058,-0.004838349
6,0.22,0.005987922,0.005987922,-0.004290108
6,0.23,0.00605103,0.00605103,-0.004366646
6,0.24,0.006212645,0.006212645,-0.004560359
6,0.25,0.005815132,0.005815132,-0.003486186
6,0.26,0.005803612,0.005803612,-0.002890753
6,0.27,0.005613548,0.005613548,-0.00223253
6,0.28,0.00574578,0.00574578,-0.002519353
6,0.29,0.005778666,0.005778666,-0.002469421
6,0.3,0.005588962,0.005588962,-0.00141403
6,0.31,0.005668374,0.005668374,-0.001692322
6,0.32,0.005630942,0.005630942,-0.001705998
6,0.33,0.005522936,0.005522936,-0.001095008
6,0.34,0.005425574,0.005425574,-0.000513162
6,0.35,0.005507592,0.005507592,-0.000844284
6,0.36,0.005821778,0.005821778,-0.001576339
7,0.06,0.015835811,0.015835811,0.021202451
7,0.07,0.015695629,0.015695629,-0.020187103
7,0.08,0.015127491,0.015127491,-0.03881818
7,0.09,0.013962418,0.013962418,-0.040163539
7,0.1,0.013005693,0.013005693,-0.040009143
7,0.11,0.011967904,0.011967904,-0.035145306
7,0.12,0.010965593,0.010965593,-0.030577144
7,0.13,0.010283664,0.010283664,-0.027002517
7,0.14,0.009501559,0.009501559,-0.022106352
7,0.15,0.008871704,0.008871704,-0.018953547
7,0.16,0.008392937,0.008392937,-0.016441872
7,0.17,0.007719334,0.007719334,-0.012947828
7,0.18,0.007497432,0.007497432,-0.011397175
7,0.19,0.007056722,0.007056722,-0.008976486
