Wind,JerlovType,a,b
1,III,-0.000183622696614606,0.000171068885403402
1,IC,0.000167763516367378,0.000186047939953163
1,3C,-9.74548501946144e-05,0.000186216994726645
1,7C,5.98364455795211e-05,0.000278151687473298
5,III,0.0136030683510674,0.0018639198387025
5,IC,0.0121684716888315,0.00157322649730121
5,3C,0.0098856264521473,0.00138164328396009
5,7C,0.00444971239254623,0.000624929575004542
9,III,0.0226437656924247,0.00260200742111664
9,IC,0.0195400824860567,0.00231914120267766
9,3C,0.0168555619787178,0.00195486170789562
9,7C,0.00679288182036171,0.000816625306390251
