Wind,JerlovType,a,b
1,III,2.34832635803015,0.295337387227367
1,IC,2.20404249433626,0.293583920520978
1,3C,2.02471452574472,0.272122363235919
1,7C,1.61077041893532,0.115492686848915
5,III,2.36397457024923,0.287602017225269
5,IC,2.22224940115258,0.28924047364043
5,3C,2.04038512548221,0.270696737180883
5,7C,1.61380041171356,0.11583769368418
9,III,2.39168210062865,0.279999410242445
9,IC,2.24709376723132,0.285101114314596
9,3C,2.06169899379356,0.268931716104352
9,7C,1.61851766841277,0.116564118338748
