Wind,Kd,a,b
1,0.06,0.00444370175521688,0.00582176569286117
1,0.07,0.00427526035547844,0.00679416831572788
1,0.08,0.004077350433614,0.00842493057152197
1,0.09,0.00395825444074334,0.00865557852483562
1,0.1,0.00385919809422856,0.00817797556304967
1,0.11,0.00376901111238979,0.00852099132062776
1,0.12,0.00367926518861177,0.00829993927063197
1,0.13,0.00367384269901987,0.00741111117616152
1,0.14,0.00362051823598545,0.00709500241436732
1,0.15,0.00356215334100482,0.00735222698951302
1,0.16,0.00347006157757391,0.0073596212312288
1,0.17,0.00347841366993091,0.00682136989255105
1,0.18,0.00341562732738141,0.00648576052002423
1,0.19,0.00336044889188826,0.00679040209377009
1,0.2,0.00332849179515201,0.00632986434355475
1,0.21,0.00330146558962021,0.00641750984658038
1,0.22,0.00328879370671391,0.00623941492848693
1,0.23,0.00331287211779287,0.00562244947806918
1,0.24,0.00330787153156088,0.00510455305435505
1,0.25,0.00319057714829017,0.00567371924982733
1,0.26,0.00333208125437243,0.00466781296587954
1,0.27,0.0032835675735674,0.00493604274450679
1,0.28,0.0033034380953543,0.00442690817549507
1,0.29,0.00328593153778122,0.00438540457774234
1,0.3,0.00324656558584585,0.00490694596702114
1,0.31,0.00321753460360259,0.00477894570331663
1,0.32,0.00327941276655939,0.0042503397638718
1,0.33,0.0030907104197843,0.00474157418981409
1,0.34,0.00321219827063875,0.00395535360136698
1,0.35,0.00319339805816382,0.00414005170324409
1,0.36,0.00309934717538464,0.00439031624104373
2,0.06,0.0123213324154893,0.0110067315970062
2,0.07,0.0116029812041991,0.0197593377678906
2,0.08,0.0110381694027558,0.0241235734872396
2,0.09,0.0103880020817166,0.0293668416868575
2,0.1,0.0101565737038611,0.027621821129528
2,0.11,0.00989546470978178,0.0265019532803463
2,0.12,0.00943522348122214,0.0272443819750486
2,0.13,0.00927006432618987,0.0271686430622647
2,0.14,0.00919728127020034,0.0240780260896915
2,0.15,0.00909312217051623,0.0251802512892633
2,0.16,0.00878818274311841,0.0234535151293024
2,0.17,0.00875393677189265,0.0229887972529106
2,0.18,0.00850684157773321,0.0226282811731402
2,0.19,0.0082722455097028,0.0236157582389115
2,0.2,0.00817458807054975,0.022938497887027
2,0.21,0.00824589814949695,0.0213187168564622
2,0.22,0.00802394207814205,0.0213170572541679
2,0.23,0.00823710405310652,0.0191338345216779
2,0.24,0.0080087615235478,0.0184484500190294
2,0.25,0.00768747697704735,0.0203682620880509
2,0.26,0.00797440115418121,0.0184742391654533
2,0.27,0.00795295400991832,0.0174651340656321
2,0.28,0.00760219826744341,0.0190442387391151
2,0.29,0.0079703795184887,0.0160601769326801
2,0.3,0.00771049766141082,0.0171676301479084
2,0.31,0.00817279343183916,0.0141538795345366
2,0.32,0.00753590550117952,0.0169351519191081
2,0.33,0.0073046802637224,0.0175805774611549
2,0.34,0.00789370704149149,0.0135999551888456
2,0.35,0.0073025865434331,0.0160646306407533
2,0.36,0.00731674263884787,0.014844092611569
3,0.06,0.0150745500815127,0.0173344070034189
3,0.07,0.0142752952883987,0.0272472613102444
3,0.08,0.0136113230683837,0.0313174726175252
3,0.09,0.0129272350107419,0.0348895147288357
3,0.1,0.0124748269814195,0.0351779195806909
3,0.11,0.0121427497211498,0.0341537514387881
3,0.12,0.0119207707635837,0.0327765542514498
3,0.13,0.0115682329822558,0.0329797411683814
3,0.14,0.011237603093609,0.0316213568632588
3,0.15,0.0111500422989616,0.0317673107594811
3,0.16,0.0106595515226618,0.0322780089663148
3,0.17,0.0105711894859357,0.0312813375930234
3,0.18,0.0102913427281938,0.031571079214141
3,0.19,0.0101425887753543,0.0287050729362883
3,0.2,0.00994473305373187,0.0300489679742067
3,0.21,0.00998268725097843,0.0271825782063181
3,0.22,0.0100191022432563,0.0254857382153143
3,0.23,0.00989621788607132,0.0248574917579508
3,0.24,0.00998831384048174,0.0227183519363855
3,0.25,0.00940133857007326,0.025768891089464
3,0.26,0.00957914243980986,0.0239514766426252
3,0.27,0.00999698086822426,0.0208067449222153
3,0.28,0.00959745158575294,0.0218105875413233
3,0.29,0.00973140452237569,0.0208440333446304
3,0.3,0.00928100545623364,0.0215912034136954
3,0.31,0.00971587733115258,0.0189161205061864
3,0.32,0.00929722227039214,0.0203206013267512
3,0.33,0.00903856953083646,0.0205025129120982
3,0.34,0.00928986240639086,0.0184788363930433
3,0.35,0.00891608074562583,0.0201515829685742
3,0.36,0.00863665851683467,0.020444118742146
4,0.06,0.0173206233032585,0.0155955617109935
4,0.07,0.0160885540301176,0.0301379087643606
4,0.08,0.015105118944212,0.0410393918363404
4,0.09,0.0146296491693299,0.0393664126783766
4,0.1,0.0138492879044475,0.0433438368917337
4,0.11,0.013755431878643,0.0381049059123848
4,0.12,0.0132082865745131,0.038522816253126
4,0.13,0.0130256166445082,0.0375869732970713
4,0.14,0.0125235889288758,0.0380550151595755
4,0.15,0.0123195726259857,0.0370131988724481
4,0.16,0.0118334249661204,0.0387187496019514
4,0.17,0.011892384199182,0.0345725949434917
4,0.18,0.0117295985599785,0.0329628492466822
4,0.19,0.0112633145853617,0.0345168575007218
4,0.2,0.0110272972049203,0.0347715151208939
4,0.21,0.0112017387456955,0.0306825789998095
4,0.22,0.0109216439621055,0.0313243669760873
4,0.23,0.0111220998067497,0.0281391929387394
4,0.24,0.0107167176038261,0.0285882154371025
4,0.25,0.0105413088658482,0.0293051517916562
4,0.26,0.0110002579724431,0.0262005671931733
4,0.27,0.0112091439829106,0.0235662929616501
4,0.28,0.0108054411469297,0.0250807881958993
4,0.29,0.0109369977909757,0.022042500588061
4,0.3,0.0101861028664248,0.0260401592304773
4,0.31,0.0105489580620952,0.024138334823841
4,0.32,0.0102933505941068,0.0234470848079226
4,0.33,0.0101585988833535,0.0235838892357226
4,0.34,0.0105197434351872,0.0209759259723984
4,0.35,0.0104204016317496,0.0212575264846666
4,0.36,0.00970244451820465,0.0234489522509899
5,0.06,0.0196595303323403,0.0229673173198493
5,0.07,0.0184059082183865,0.041348931038008
5,0.08,0.0173729316095668,0.0471545756105779
5,0.09,0.0165583863408764,0.0467058270761306
5,0.1,0.0158954711040409,0.0482904423335515
5,0.11,0.0153290010159787,0.051284030694759
5,0.12,0.0148149941431908,0.0496517147210774
5,0.13,0.0146516865114427,0.0452075325601975
5,0.14,0.0142532904479363,0.0430786216961299
5,0.15,0.0138959094326099,0.0439560458998907
5,0.16,0.0137085700160972,0.0422929657990833
5,0.17,0.0136461815561877,0.0408663463926389
5,0.18,0.0134544208747271,0.038524114814265
5,0.19,0.0129501724411006,0.0394458883649499
5,0.2,0.0128667234281361,0.0365123886386643
5,0.21,0.0126049974911467,0.0380569459474733
5,0.22,0.0128063359539659,0.0341977189300096
5,0.23,0.0127687844230033,0.0322771576877898
5,0.24,0.0127104913579472,0.0316040958587601
5,0.25,0.0119997193718053,0.0334338087384487
5,0.26,0.0120818499253263,0.0320109021714555
5,0.27,0.012657888625146,0.0285469843731665
5,0.28,0.0120099816850215,0.0289013755659045
5,0.29,0.0119809067392477,0.02970573297586
5,0.3,0.0115444766857685,0.0307235228178773
5,0.31,0.0121894897817613,0.0271153522556594
5,0.32,0.0115635609172335,0.0282014154965662
5,0.33,0.0113902531824531,0.0286479200703659
5,0.34,0.0117739081446736,0.0244632715644365
5,0.35,0.0114844693519372,0.025994879796516
5,0.36,0.0109487404283477,0.0275333397719256
6,0.06,0.0218766106057489,0.0268734407956919
6,0.07,0.0204980953525506,0.0435822680381235
6,0.08,0.0190364510383279,0.0543830346101073
6,0.09,0.0183329748589817,0.055592119658733
6,0.1,0.0177793590935923,0.0530458926865906
6,0.11,0.016971455108949,0.0557531268475467
6,0.12,0.0163493152368873,0.0548455422107437
6,0.13,0.0160203600940878,0.0542057093057932
6,0.14,0.0156835597637734,0.0472396789964056
6,0.15,0.0150262867859076,0.0524229522443696
6,0.16,0.0146775778998633,0.0513851879028757
6,0.17,0.0145864556667673,0.048913652671373
6,0.18,0.014202740314007,0.0482528474626256
6,0.19,0.0138506076876429,0.0472495003024753
6,0.2,0.0139117323907963,0.0448082945011332
6,0.21,0.0137844613468017,0.0432670838849816
6,0.22,0.0137627846356053,0.0406143153014129
6,0.23,0.0139099021013258,0.0378671997074244
6,0.24,0.0140507602374958,0.0342212318989793
6,0.25,0.0132905643574112,0.0371163794836889
6,0.26,0.013629557642288,0.0346574146139752
6,0.27,0.0135791528192153,0.0324256115939977
6,0.28,0.013533610204516,0.0325985074601809
6,0.29,0.0133806115701136,0.0314911651796703
6,0.3,0.0121980400340204,0.0359299409202786
6,0.31,0.0134761319720996,0.0298814875123683
6,0.32,0.0129182419982155,0.0310370135857163
6,0.33,0.0123026699841304,0.0320329852666681
6,0.34,0.0128526089969985,0.0294489276931856
6,0.35,0.0123360819352007,0.0302764207180199
6,0.36,0.0124144458248994,0.0286853602483595
7,0.06,0.0230487890146526,0.0334816634795214
7,0.07,0.0217514220368573,0.0447615097778575
7,0.08,0.0202094654762621,0.0593566670936071
7,0.09,0.0194580110374432,0.0568064743951265
7,0.1,0.0184376781041474,0.0636750829066456
7,0.11,0.0181141313017577,0.0583648384852556
7,0.12,0.0176004106042093,0.0563206662989797
7,0.13,0.0172663029778823,0.0537621500166898
7,0.14,0.0165633817568248,0.0546650378827835
7,0.15,0.0160564556608793,0.0554439796965809
7,0.16,0.0159454078672296,0.0515897821058916
7,0.17,0.0156696672254374,0.0513159892932757
7,0.18,0.0151693591499278,0.0495130255214344
7,0.19,0.0151344802465063,0.0466914390594137
7,0.2,0.0144294928249937,0.0486922520573379
7,0.21,0.0147880829258,0.0444331662581514
7,0.22,0.0146379082905708,0.0419755823669313
7,0.23,0.0146042327376183,0.0419457522211658
7,0.24,0.0142478646558441,0.0403119814844002
7,0.25,0.0137698420790443,0.0437676868155914
7,0.26,0.0139521305897808,0.0390552160391752
7,0.27,0.0140175936368317,0.0385658348027722
7,0.28,0.0138002265976326,0.0365710342489653
7,0.29,0.0140368760076189,0.0350767181744836
7,0.3,0.0135664487276712,0.0353995750140056
7,0.31,0.0140339824136093,0.0332904846564551
7,0.32,0.0133458416458019,0.0344616610972138
7,0.33,0.0129001105893686,0.0353672588467683
7,0.34,0.0136886108438315,0.0288884044830195
7,0.35,0.0132548364369141,0.0304318041355393
7,0.36,0.0128406607592072,0.0318239869257442
8,0.06,0.0237361161872662,0.0261712301927921
8,0.07,0.0219830073937561,0.0541469797278414
8,0.08,0.0204800992996221,0.06225208636704
8,0.09,0.0199785632688937,0.0582601046090595
8,0.1,0.0191308262033877,0.0579663118536146
8,0.11,0.01821681605124,0.0602677074075441
8,0.12,0.0174517733487426,0.062484668930915
8,0.13,0.0173363058543639,0.0572532237658736
8,0.14,0.0167779297636885,0.0577477344772874
8,0.15,0.0168824353480061,0.0527923387770552
8,0.16,0.0155590030588498,0.0594141996376734
8,0.17,0.0157358195220004,0.052839435904179
8,0.18,0.0153938003002876,0.0527061240279647
8,0.19,0.0153361183268788,0.0498523882663777
8,0.2,0.0151220316353863,0.0481814205860753
8,0.21,0.0148048593417296,0.0500047378279296
8,0.22,0.014746752923885,0.0450875252824393
8,0.23,0.0149053813158896,0.0407576797719214
8,0.24,0.0145054638198655,0.0419860323671132
8,0.25,0.013991781055446,0.0430614721300598
8,0.26,0.0146198335400654,0.0387884792332564
8,0.27,0.0145439513979166,0.0373130720036397
8,0.28,0.0140408985007731,0.0395842415100727
8,0.29,0.0143990077048581,0.0355371458670573
