Wind,JerlovType,a,b
1,III,1.96327799984332,0.0250550690306512
1,IC,1.83869902155139,0.0291336537870501
1,3C,1.72468189588758,0.0342367487626561
1,5C,1.6338004353199,0.0369665752715706
1,7C,1.6112287268598,0.0304342881672698
3,III,1.96429194795166,0.0248700725100698
3,IC,1.83985338916158,0.0290355815193564
3,3C,1.72647400456784,0.034169743101631
3,5C,1.6349297699035,0.0369416082591651
3,7C,1.61168050605125,0.0303963156079037
5,III,1.98706533997606,0.0245181924599347
5,IC,1.85915787423218,0.0287859764574968
5,3C,1.73936472971855,0.0340973274025783
5,5C,1.6404321054026,0.0370494286581271
5,7C,1.61337365906737,0.0304565293249856
7,III,2.01411429135255,0.0240894899408544
7,IC,1.88084143016383,0.0285211724499495
7,3C,1.75401023654818,0.0340400874843519
7,5C,1.6462952239609,0.0371644285497358
7,7C,1.614940656307,0.0306439086877612
9,III,2.02107779422191,0.0239520350898712
9,IC,1.88568376744998,0.0284689885178034
9,3C,1.75822316971277,0.0339923564509729
9,5C,1.64937477662614,0.0371440129694372
9,7C,1.61671669263849,0.0304215549614614
