Wind,JerlovType,a,b
1,III,-2.1698124857991e-07,0.000179748661610353
1,IC,0.000254719507981393,0.00017953331701425
1,3C,6.19981749853681e-05,0.000168855844308793
1,5C,-4.34954051474966e-05,0.000171611028675565
1,7C,2.24275976149651e-05,0.000210847710310724
1,9C,-4.70898537070913e-06,0.000181521237133362
3,III,0.00959455741228543,0.00265690931446391
3,IC,0.00931735457356615,0.00251482658713192
3,3C,0.00812095335632779,0.00223120582107421
3,5C,0.00709721339005943,0.00172288066829439
3,7C,0.00480601074794168,0.00127777962676363
3,9C,0.00338919051776793,0.00137415380816471
5,III,0.0139660002443909,0.00406337164563469
5,IC,0.0150512941955579,0.00366128522805973
5,3C,0.0129500491337609,0.0034458639989624
5,5C,0.00991169299873993,0.00268167772462599
5,7C,0.00759376758595033,0.00167960702077202
5,9C,0.00510010003234146,0.0021210486684011
7,III,0.0188227791263865,0.00473461914872918
7,IC,0.0195013441181636,0.00427107475567115
7,3C,0.017455049474282,0.00403643271240935
7,5C,0.0127874362609664,0.00329199493639938
7,7C,0.00870430078597816,0.00223696923158572
7,9C,0.00639604296193049,0.00258833044173015
9,III,0.0207579474981187,0.00496387411373468
9,IC,0.0205026500977332,0.00474973438209266
9,3C,0.0176164575391029,0.00434353019519733
9,5C,0.0131202157043121,0.00354568716582653
9,7C,0.0104429818990398,0.00209137973557057
9,9C,0.00668417155112507,0.00275155881798957
