Wind,JerlovType,a,b
1,III,0.000217795446642197,0.000170809439853558
1,IC,0.000118205031248051,0.00018116329403027
1,3C,-7.60227065284836e-05,0.000187113019588572
1,7C,3.4219909655478e-05,0.000301954848290964
3,III,0.00453051553508439,0.00062081117141419
3,IC,0.00421674028339139,0.000523759709303157
3,3C,0.0032100346514368,0.000443405805528568
3,7C,0.00101230947645665,0.000386307036970273
5,III,0.011854053624263,0.00141840130491249
5,IC,0.0103619650108184,0.00122276711443136
5,3C,0.00855140629760084,0.00104048662544972
5,7C,0.00359956562767589,0.000517753318736665
7,III,0.0188447094653494,0.00196924199304895
7,IC,0.0169620192958736,0.00167377995761384
7,3C,0.0132037185498218,0.00144664567574507
7,7C,0.00532571447995566,0.000613813081033198
9,III,0.0214119794075593,0.0021351594598046
9,IC,0.0181371483456251,0.00186937077122707
9,3C,0.014571265171398,0.00156479783681242
9,7C,0.00586141581088884,0.000671611987387821
