Wind,JerlovType,a,b,c,d
1,III,-1.8711169210465e-06,0.000275686723009098,0.0013475121435635,0.0429196824542545
1,IC,-2.31387264530749e-06,0.000405104761436099,0.00199147225848407,0.0419170178440364
1,3C,-1.23054862390589e-09,0.000478731467255366,0.00401171881350247,0.040612176879375
1,7C,7.95281948241238e-05,0.00173061771436432,0.0159776425226716,0.0468196198124856
5,III,-1.85493890686976e-06,0.000267468156949958,0.00207927037157481,0.04311364801145
5,IC,-2.59646365876017e-06,0.000407414380704938,0.00255177549281619,0.0420844113605394
5,3C,-1.39596588755025e-07,0.000471088452487761,0.0046148216869494,0.0405820646860828
5,7C,7.78933361484093e-05,0.00174485466194419,0.0164133271557879,0.0473344555697487
9,III,-1.86541718192994e-06,0.000256598265655313,0.00305359526516413,0.0436283136659856
9,IC,-2.9550611309997e-06,0.000406096641179677,0.0033804602463442,0.0422972433448088
9,3C,-5.32326636019012e-07,0.000462842434554424,0.00546391311766468,0.0404004373843714
9,7C,9.07657756067794e-05,0.00152594818813291,0.0179599971956256,0.0471900563196462
